ale
987657.64
1094231.04
1802884.38
758175.95
2245238.61
1423544.33
1324180.56
693653.80
2428021.10
799002.98
1174086.09
512759.88
1896761.24
1114419.28
1415425.07
1012164.53
1389751.88
866603.88
1641909.09
935904.97
684348.28
1109603.92
715516.67
1335739.06
1593586.54
2001962.26
382604.40
1211783.25
1163677.57
1199855.23
1424681.56
342376.01
708441.93
995947.10
1382437.24
1366145.15
720561.20
840899.68
1367571.30
1817138.57
498772.78
425749.36
554791.56
945712.69
1289825.30
1321545.83
774944.53
990526.84
730735.57
1050847.39
2586189.83
1378749.10
1681269.29
751084.39
1109651.11
814152.37
670806.92
551047.51
1442914.55
619027.24
1654661.11
2426017.53
1247339.01
1560148.92
720802.94
943933.88
2310078.89
1374938.74
1069231.15
987996.63
1411249.60
1727018.63
700464.56
558862.77
1310120.12
686754.88
1582157.90
1175400.54
1046183.36
777781.01
1406173.05
665816.62
1107056.50
1148094.62
1087034.98
1870895.17
1225036.53
807587.49
1940853.38
706104.84
2057909.08
1212090.00
1256650.96
1135129.07
804546.28
986319.30
700549.54
1198459.45
805880.44
909444.39
598841.28
844739.50
631245.91
2177773.07
1083733.86
1540857.58
1990168.87
355780.65
861955.45
1356857.60
1103714.84
951869.03
781686.59
1625583.54
1579662.02
1271618.85
1389061.01
790733.05
1084279.10
1735678.87
1232887.91
1182949.99
977557.34
782193.59
1247027.97
2600425.50
805853.99
1116607.59
1251688.66
502385.37
723843.98
909494.65
1710774.50
1185926.04
631752.90
1344600.04
2399261.40
1021089.94
2491451.60
1792703.40
1828932.18
834842.65
2666326.58
1043845.10
1100973.06
1862349.78
1007920.73
3878829.43
1896757.78
1533122.44
1532359.92
1171206.19
808839.12
742308.28
439050.91
689052.35
877798.38
605031.25
881100.68
1839008.79
2245592.64
1878561.66
615639.74
603729.44
1123873.78
1288738.38
1012527.04
663142.83
1882263.86
721634.83
1689309.85
1468617.48
917902.85
1045504.74
705286.15
1147804.38
779956.54
629602.09
1715050.93
2120207.96
951773.36
1822669.31
850200.84
860901.66
1712988.71
823778.60
961137.99
841032.78
815915.27
1420432.65
1145293.04
1246981.76
1205872.92
926407.13
1043314.83
1198555.20
479729.66
1347185.77
872805.15
835080.62
1482591.55
1535245.69
1275368.65
1166728.91
1471464.74
520691.42
571525.19
1626410.17
2112614.35
760157.37
765748.37
1167187.01
843360.25
878633.80
1946007.53
2314742.51
1053410.96
401455.65
919332.04
1185906.18
1978425.97
3349212.75
758564.48
715608.82
306452.41
1753345.03
1826466.28
857568.01
1696863.41
1024161.13
1312669.14
2943337.51
1102588.82
917696.81
1275260.67
1240626.53
1153558.16
812668.34
784723.30
1550038.52
250574.62
1539550.37
1957058.63
1393442.14
830098.35
1755354.52
783230.44
692803.33
1023138.55
533990.05
1522358.88
1315197.41
2487668.24
927063.80
1328938.32
659559.73
1554118.72
383199.47
1105290.42
838410.73
663731.00
1592765.20
639824.93
1363262.32
4949770.64
1677723.90
743928.28
1318927.26
2635627.53
845896.84
673893.86
1142166.20
783954.18
1153120.69
1318443.62
1323968.77
883893.03
1150200.85
1901466.43
538593.48
1107136.93
2377572.83
1843212.59
2048874.96
1315242.77
1038335.67
1609369.81
983505.96
1433898.04
1063125.14
1001798.77
1307036.14
1070429.24
1046098.22
1815968.73
2100062.54
1201301.52
943113.84
1846372.90
1191873.80
1154134.22
880996.78
1197551.34
1034887.79
1274297.67
1011485.10
1563418.91
1054215.92
1707519.46
1472528.08
1769369.12
